"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,80815,+22,3177.0,8.0,64152.0,13486,4020.0,56.1
Italy,17660,"+2,547",1266.0,250.0,1439.0,14955,1328.0,292.1
Iran,11364,"+1,289",514.0,85.0,3529.0,7321,,135.3
S. Korea,7979,+110,71.0,5.0,510.0,7398,93.0,155.6
Spain,4334,"+1,188",122.0,36.0,193.0,4019,190.0,92.7
Germany,3675,+930,8.0,2.0,46.0,3621,9.0,43.9
France,3661,+785,79.0,18.0,12.0,3570,154.0,56.1
USA,2030,+333,41.0,,31.0,1958,10.0,6.1
Switzerland,1139,+271,11.0,4.0,4.0,1124,,131.6
Norway,940,+140,1.0,,1.0,938,27.0,173.4
Sweden,814,+127,1.0,,1.0,812,2.0,80.6
Netherlands,804,+190,10.0,5.0,2.0,792,1.0,46.9
Denmark,801,+127,,,1.0,800,2.0,138.3
UK,798,+208,11.0,1.0,18.0,769,20.0,11.8
Japan,701,+10,19.0,,118.0,564,29.0,5.5
Diamond Princess,696,,7.0,,325.0,364,32.0,
Belgium,559,+160,3.0,,1.0,555,2.0,48.2
Austria,504,+143,1.0,,6.0,497,1.0,56.0
Qatar,262,,,,,262,,90.9
Bahrain,210,+13,,,44.0,166,1.0,123.4
Singapore,200,+13,,,97.0,103,11.0,34.2
Australia,199,+43,3.0,,26.0,170,1.0,7.8
Malaysia,197,+39,,,32.0,165,4.0,6.1
Greece,190,+73,1.0,,2.0,187,2.0,18.2
Canada,158,+16,1.0,,11.0,146,1.0,4.2
Finland,155,+46,,,1.0,154,,28.0
Brazil,151,+74,,,,151,2.0,0.7
Czechia,141,+25,,,,141,2.0,13.2
Slovenia,141,+45,,,,141,4.0,67.8
Iceland,134,+17,,,,134,,
Hong Kong,132,+1,4.0,1.0,77.0,51,4.0,17.6
Israel,126,+17,,,4.0,122,2.0,14.6
Portugal,112,+34,,,1.0,111,1.0,11.0
Iraq,101,+18,9.0,1.0,24.0,68,,2.5
Kuwait,100,+20,,,5.0,95,4.0,23.4
Ireland,90,+20,1.0,,,89,6.0,18.2
UAE,85,,,,20.0,65,2.0,8.6
India,82,+8,2.0,1.0,10.0,70,,0.1
Romania,82,+23,,,7.0,75,1.0,4.3
San Marino,80,+8,5.0,,2.0,73,3.0,
Egypt,80,,2.0,,27.0,51,,0.8
Estonia,79,+52,,,,79,,59.6
Lebanon,77,+9,3.0,,1.0,73,3.0,11.3
Thailand,75,+5,1.0,,35.0,39,1.0,1.1
Indonesia,69,+35,4.0,3.0,5.0,60,,0.3
Poland,68,+17,1.0,,,67,3.0,1.8
Philippines,64,+12,5.0,,2.0,57,1.0,0.6
Saudi Arabia,62,+17,,,1.0,61,,1.8
Taiwan,50,+1,1.0,,20.0,29,,2.1
Russia,45,+11,,,8.0,37,,0.3
Vietnam,44,,,,16.0,28,,0.5
Chile,43,+10,,,,43,,2.2
Brunei,37,+12,,,,37,,
Serbia,35,+11,,,,35,1.0,4.0
Palestine,35,+4,,,,35,,6.9
Luxembourg,34,+8,,,,34,1.0,
Albania,33,+10,1.0,,,32,,11.5
Argentina,31,,2.0,1.0,,29,1.0,0.7
Croatia,31,+4,,,1.0,30,,7.6
Slovakia,30,+9,,,,30,,5.5
Pakistan,28,+7,,,2.0,26,,0.1
Peru,28,+6,,,,28,,0.8
Panama,27,+13,1.0,,,26,,6.3
Belarus,27,+6,,,3.0,24,,2.9
Algeria,26,,2.0,,10.0,14,,0.6
Georgia,25,,,,,25,1.0,6.3
South Africa,24,+8,,,,24,,0.4
Bulgaria,23,,1.0,,,22,,3.3
Costa Rica,23,,,,,23,1.0,4.5
Ecuador,19,+2,,,,19,1.0,1.1
Oman,19,+1,,,9.0,10,,3.7
Hungary,19,+3,,,,19,,2.0
Bosnia and Herzegovina,18,+7,,,,18,,5.5
Latvia,17,+1,,,1.0,16,,9.0
Tunisia,16,+3,,,,16,2.0,1.4
Azerbaijan,15,,1.0,,3.0,11,,1.5
North Macedonia,14,+5,,,1.0,13,,6.7
Cyprus,14,+4,,,,14,,11.6
Colombia,13,+4,,,,13,,0.3
Mexico,12,,,,4.0,8,1.0,0.1
Malta,12,+3,,,1.0,11,,
Macao,10,,,,10.0,0,,
Senegal,10,,,,2.0,8,,0.6
Maldives,9,+1,,,,9,,
Armenia,8,+2,,,,8,,2.7
Jamaica,8,+6,,,,8,,2.7
Morocco,7,+1,1.0,,,6,1.0,0.2
Afghanistan,7,,,,,7,,0.2
Cambodia,7,+2,,,1.0,6,,0.4
Lithuania,6,+3,,,,6,,2.2
Sri Lanka,6,+3,,,1.0,5,,0.3
French Guiana,6,,,,,6,,
Moldova,6,,,,,6,,1.5
Paraguay,6,,,,,6,1.0,0.8
Dominican Republic,5,,,,,5,,0.5
New Zealand,5,,,,,5,,1.0
Réunion,5,+1,,,,5,,
Turkey,5,+4,,,,5,,0.1
Cuba,4,+1,,,,4,,0.4
Kazakhstan,4,+4,,,,4,,0.2
Liechtenstein,4,,,,,4,,
Ukraine,3,,1.0,1.0,,2,,0.1
Bangladesh,3,,,,1.0,2,,
Bolivia,3,,,,,3,,0.3
Channel Islands,3,,,,,3,,
Faeroe Islands,3,+1,,,,3,,
French Polynesia,3,+2,,,,3,,
Martinique,3,,,,,3,,
Monaco,2,,,,,2,,
Nigeria,2,,,,,2,,
Burkina Faso,2,,,,,2,,0.1
Cameroon,2,,,,,2,,0.1
DRC,2,+1,,,,2,,
Ghana,2,,,,,2,,0.1
Honduras,2,,,,,2,,0.2
Saint Martin,2,,,,,2,,
Venezuela,2,+2,,,,2,,0.1
Guyana,1,,1.0,,,0,,
Sudan,1,+1,1.0,1.0,,0,,
Andorra,1,,,,,1,,
Jordan,1,,,,1.0,0,,0.1
Nepal,1,,,,1.0,0,,
Antigua and Barbuda,1,+1,,,,1,,
Bhutan,1,,,,,1,,
Cayman Islands,1,+1,,,,1,,
Ivory Coast,1,,,,,1,,
Ethiopia,1,+1,,,,1,,
Gabon,1,+1,,,,1,,0.4
Gibraltar,1,,,,1.0,0,,
Guadeloupe,1,+1,,,,1,,
Guinea,1,+1,,,,1,,0.1
Vatican City,1,,,,,1,,
Kenya,1,+1,,,,1,,
Mongolia,1,,,,,1,,0.3
St. Barth,1,,,,,1,,
St. Vincent Grenadines,1,,,,,1,,
Togo,1,,,,,1,,0.1
Trinidad and Tobago,1,,,,,1,,0.7
Total:,144031,9475,5397.0,423.0,70920.0,67714,5990.0,18.5
